id,day,prize,sig,url
ktd-2025-08-11-001,2025-08-11,Trident,f7860ea08fb7dfa2fb7d4cae2fff41c78ce7490ce9aabdff426438ced9488361,http://localhost:3000/jugar?id=ktd-2025-08-11-001&sig=f7860ea08fb7dfa2fb7d4cae2fff41c78ce7490ce9aabdff426438ced9488361
ktd-2025-08-11-002,2025-08-11,Trident,11908ba67d0bad2a82d3afa32d5d618959e0e4756182abec0172b17b4d4ea5f1,http://localhost:3000/jugar?id=ktd-2025-08-11-002&sig=11908ba67d0bad2a82d3afa32d5d618959e0e4756182abec0172b17b4d4ea5f1
ktd-2025-08-11-003,2025-08-11,Cerebritos,03cae286726367721c5dd55eb51d4a3587ae1fa9e699070a7a075902915388b1,http://localhost:3000/jugar?id=ktd-2025-08-11-003&sig=03cae286726367721c5dd55eb51d4a3587ae1fa9e699070a7a075902915388b1
ktd-2025-08-11-004,2025-08-11,Chupetines,45ccf9d35f5741da1b2a56ba0e23aaa3470c4d78de2ec9181d34b3561c9fde30,http://localhost:3000/jugar?id=ktd-2025-08-11-004&sig=45ccf9d35f5741da1b2a56ba0e23aaa3470c4d78de2ec9181d34b3561c9fde30
ktd-2025-08-11-005,2025-08-11,Popcorn,1bb1cb34231a8c59b378fefb64e1f8a4a526e99f7cf753ff2f84e536f43cbb09,http://localhost:3000/jugar?id=ktd-2025-08-11-005&sig=1bb1cb34231a8c59b378fefb64e1f8a4a526e99f7cf753ff2f84e536f43cbb09
ktd-2025-08-11-006,2025-08-11,Cigarros,c4c6da510032c41e181e66df214542ad44df6207a0dc341a8ed601ae948d7662,http://localhost:3000/jugar?id=ktd-2025-08-11-006&sig=c4c6da510032c41e181e66df214542ad44df6207a0dc341a8ed601ae948d7662
ktd-2025-08-11-007,2025-08-11,Popcorn,79fda46dcf9177c221531938eee62122dfa71e80094044ec72bb2c4bf755a02b,http://localhost:3000/jugar?id=ktd-2025-08-11-007&sig=79fda46dcf9177c221531938eee62122dfa71e80094044ec72bb2c4bf755a02b
ktd-2025-08-11-008,2025-08-11,Cigarros,877ccebc0969ff5b273f5d4e61c2e7b89f80b9fc66d159c3e83803a96c5175e8,http://localhost:3000/jugar?id=ktd-2025-08-11-008&sig=877ccebc0969ff5b273f5d4e61c2e7b89f80b9fc66d159c3e83803a96c5175e8
ktd-2025-08-11-009,2025-08-11,Cigarros,f441b05fa274ff27463c0a02a35050615f3d16e23fde59dbf2b656b74dec2ee3,http://localhost:3000/jugar?id=ktd-2025-08-11-009&sig=f441b05fa274ff27463c0a02a35050615f3d16e23fde59dbf2b656b74dec2ee3
ktd-2025-08-11-010,2025-08-11,Cigarros,80b104c2ed2c87c8a0a6b1a2167497f43684399be5e84b9e1c8d5480dbea526a,http://localhost:3000/jugar?id=ktd-2025-08-11-010&sig=80b104c2ed2c87c8a0a6b1a2167497f43684399be5e84b9e1c8d5480dbea526a
