id,day,prize,sig,url
ktd-2025-08-10-001,2025-08-10,Chupetines,1c7113e8eed4a0a610260d4dd9c61b1075854e3bdd075e78941f26a41c0d02dd,http://localhost:3000/jugar?id=ktd-2025-08-10-001&sig=1c7113e8eed4a0a610260d4dd9c61b1075854e3bdd075e78941f26a41c0d02dd
ktd-2025-08-10-002,2025-08-10,Agua,16377a8497198dfcdf3c97b926417c98ee2233702434ecc59d0ec36e43bf4512,http://localhost:3000/jugar?id=ktd-2025-08-10-002&sig=16377a8497198dfcdf3c97b926417c98ee2233702434ecc59d0ec36e43bf4512
ktd-2025-08-10-003,2025-08-10,Chupetines,0a4701058961f39d2fc00591aaa6eacf81ef763d81f307b8883832ba9cca7099,http://localhost:3000/jugar?id=ktd-2025-08-10-003&sig=0a4701058961f39d2fc00591aaa6eacf81ef763d81f307b8883832ba9cca7099
ktd-2025-08-10-004,2025-08-10,Popcorn,ea775659500ce81a4b4bccafe8b3f0ba9c1c199dc29a3f8a0d683183ad8a45f1,http://localhost:3000/jugar?id=ktd-2025-08-10-004&sig=ea775659500ce81a4b4bccafe8b3f0ba9c1c199dc29a3f8a0d683183ad8a45f1
ktd-2025-08-10-005,2025-08-10,Trident,fad0189996166f3db814c00d018a950b768e396b9d21cd56f72d9163f6c31414,http://localhost:3000/jugar?id=ktd-2025-08-10-005&sig=fad0189996166f3db814c00d018a950b768e396b9d21cd56f72d9163f6c31414
ktd-2025-08-10-006,2025-08-10,Cerebritos,c033a2d5b18dd57466a53ecd4313db73bc65e04151d1ca89d5edb51f572b9aeb,http://localhost:3000/jugar?id=ktd-2025-08-10-006&sig=c033a2d5b18dd57466a53ecd4313db73bc65e04151d1ca89d5edb51f572b9aeb
ktd-2025-08-10-007,2025-08-10,Trident,ab2b9ce8331ee59b3fb478ea3ac6dc4019ac22bd5d459dd485cdc489ab3d39d4,http://localhost:3000/jugar?id=ktd-2025-08-10-007&sig=ab2b9ce8331ee59b3fb478ea3ac6dc4019ac22bd5d459dd485cdc489ab3d39d4
ktd-2025-08-10-008,2025-08-10,Agua,c132d50ff02573bb9bcacfdb32690b8ba1f8c98279ccc2a93db14122d98e7f57,http://localhost:3000/jugar?id=ktd-2025-08-10-008&sig=c132d50ff02573bb9bcacfdb32690b8ba1f8c98279ccc2a93db14122d98e7f57
ktd-2025-08-10-009,2025-08-10,Cerebritos,532d5291846b40c62e990a592bd9142c4196152b4cba246c251481f4c913c04c,http://localhost:3000/jugar?id=ktd-2025-08-10-009&sig=532d5291846b40c62e990a592bd9142c4196152b4cba246c251481f4c913c04c
ktd-2025-08-10-010,2025-08-10,Cigarros,2c3fb82da7222b5e025d38488bffaefed123f1ea168e325644670e76b1b809ef,http://localhost:3000/jugar?id=ktd-2025-08-10-010&sig=2c3fb82da7222b5e025d38488bffaefed123f1ea168e325644670e76b1b809ef
ktd-2025-08-10-011,2025-08-10,Cigarros,3156ede864dd66b10b58382dcaae13625ec94459170a20318c7ba3207061b07e,http://localhost:3000/jugar?id=ktd-2025-08-10-011&sig=3156ede864dd66b10b58382dcaae13625ec94459170a20318c7ba3207061b07e
ktd-2025-08-10-012,2025-08-10,Cigarros,bde2d4c8710a5ea6c9ca37d5de68d188b85c60803fde50aead88e0a32bc77903,http://localhost:3000/jugar?id=ktd-2025-08-10-012&sig=bde2d4c8710a5ea6c9ca37d5de68d188b85c60803fde50aead88e0a32bc77903
ktd-2025-08-10-013,2025-08-10,Agua,e8a918a00765c9e4745ea8eaa88f7043b4e01de05904e5ad50c2e2583fb73e86,http://localhost:3000/jugar?id=ktd-2025-08-10-013&sig=e8a918a00765c9e4745ea8eaa88f7043b4e01de05904e5ad50c2e2583fb73e86
ktd-2025-08-10-014,2025-08-10,Popcorn,3eedf68c0678268c1b7729af8589e06d0ace176ad3912e03452dedbd9d186de5,http://localhost:3000/jugar?id=ktd-2025-08-10-014&sig=3eedf68c0678268c1b7729af8589e06d0ace176ad3912e03452dedbd9d186de5
ktd-2025-08-10-015,2025-08-10,Popcorn,a95f738983d82b56c7a408dc9d603f6762ab874c4e578bd589bd742a16787417,http://localhost:3000/jugar?id=ktd-2025-08-10-015&sig=a95f738983d82b56c7a408dc9d603f6762ab874c4e578bd589bd742a16787417
ktd-2025-08-10-016,2025-08-10,Cerebritos,e9d1e3bd3ca9bf061f9f49a15d8ed621d01ac3634eb31ee66c451923843a70bb,http://localhost:3000/jugar?id=ktd-2025-08-10-016&sig=e9d1e3bd3ca9bf061f9f49a15d8ed621d01ac3634eb31ee66c451923843a70bb
ktd-2025-08-10-017,2025-08-10,Agua,fcf52ea7f9d5796cbd59fbeac37b551ce4c81ff7b166fb307f3f8b91a9d6215a,http://localhost:3000/jugar?id=ktd-2025-08-10-017&sig=fcf52ea7f9d5796cbd59fbeac37b551ce4c81ff7b166fb307f3f8b91a9d6215a
